Transaction_ID,Transaction_Date,Customer_ID,Gender,Age,City,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price_VND,Revenue,Source_Currency,Rating,Customer_Review,Original_Price,Discount_Price,Original_Price_VND,Discount_Price_VND,avg_rating,reviews_count,rating_average,review_count,quantity_sold,availability,is_for_sale,description,product_type,category_2,category_3,manufacturer,current_seller,fulfillment_type,date_created,number_of_images,favourite_count,has_video,Source
T000011,2026-06-10 19:17:46,C01828,Female,20,Vũng Tàu,149363896,"Túi xách dành cho laptop, macbook thời trang cao cấp. Túi đựng macbook, laptop nữ 13inch, 14inch, 15.6inch-K09",Cặp đựng laptop,OEM,5,500000,2500000,VND,5,"Với trải nghiệm này, tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể.",500000,500000,500000.0,500000.0,,,0.0,0.0,0.0,,,"-> Chiếc túi tích hợp ngăn để máy tính với lớp chống sốc dày dặn, gọn gàng và ngăn giữa để vật dụng cá nhân (đồ trang điểm, sổ sách,...), đem lại sự tiện dụng nhất cho người dùng------------------...",,,,,TAIKESEN,dropship,636.0,10.0,0.0,False,Tiki
T000012,2026-07-05 15:31:25,C00796,Male,39,Biên Hòa,242407526,"BALO DU LỊCH, ĐỰNG ĐỒ VỀ QUÊ ĐI CHƠI MR VUI BLTT905 SIZE TO CÓ NGĂN CHỨA LAPTOP 15.6 INCH","Balo du lịch, phượt",MRVUI,5,488750,2443750,VND,4,Tôi hài lòng với sản phẩm trong tổng thể và cho thấy nó đáp ứng được kỳ vọng của mình.,575000,488750,575000.0,488750.0,,,0.0,0.0,3.0,,,"THÔNG SỐ KỸ THUẬTChất liệu: vải 900PU, lớp lót bên trong bằng vải poly-Oxford chống thấm nước.KT: 32 x 47 x 19 cmKL: 0.81 kgNgăn laptop: 15.6 inchTÍNH NĂNG NỔI BẬTBalo 905 với thiết kế đơn giản và nă...",,,,,WinWinShop,dropship,191.0,5.0,0.0,False,Tiki
T000013,2026-09-02 11:42:58,C01687,Female,54,Đà Nẵng,325088142,"Outsunny 2.7m Garden Banana Parasol Cantilever Umbrella with Crank Handle, Double Tier Canopy and Cross Base for Outdoor, Hanging Sun Shade, Dark Grey",Marketplace,Outsunny,2,2432712,4865424,GBP,5,Tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể của sản phẩm.,69.99,69.99,2432712.0,2432712.0,\N,\N,,,,in_stock,True,"This stylish cantilever patio umbrella from Outsunny is a piece you'll love have hanging outside. The modern overhanging, offset design means you can keep shaded anywhere, without the hassle of a central pole getting in your way - bringing shade to large tables, sofas, bistro sets and so much more.  The core structure is made from steel, so it's tough and sturdy. There are eight ribs connecting to the hanging parasol for extra support. Style and cool comfort, blended together.",SingleProduct,Garden & DIY,Garden Furniture,\N,,,,,,,Tesco
T000014,2026-04-20 19:11:04,C01405,Female,56,Nha Trang,148715360,Khuyến mãi - Balo du lịch Thời trang đựng laptop 16inch chống nước Tangcool,Root,OEM,5,870000,4350000,VND,5,Sản phẩm đáp ứng rất tốt nhu cầu và mang lại trải nghiệm tuyệt vời.,870000,870000,870000.0,870000.0,,,0.0,0.0,0.0,,,"       - Thiết kế trẻ trung, năng động với chất vải cao cấp chống thấm nước.   - Ngăn túi rộng rãi có thể đựng vừa laptop từ 16 inch.   - Phù hợp cho mọi sinh hoạt công việc, đi chơi,   - Có cá...",,,,,SkyLife,dropship,637.0,9.0,0.0,False,Tiki
T000015,2025-10-24 18:19:43,C00228,Female,60,Đà Nẵng,93276711,balo nam da thật cao cấp phong cách mới,Balo nam,ANANSHOP688,4,431100,1724400,VND,3,"Với trải nghiệm này, sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",479000,431100,479000.0,431100.0,,,4.0,1.0,2.0,,,"Kích thước : rộng 28,5cm ,cao 42cm,dày 14cmPhương pháp sản xuất: công nghệ caoChất liệu :da vi sợi cao cấp siêu bền siêu chống thấm nướcChức năng: Không thấm nước, thoáng khí, chống mài mòn, làm sáng,...",,,,,Ananshop688,dropship,869.0,12.0,0.0,False,Tiki
T000016,2026-05-08 07:47:20,C01045,Female,44,Đà Lạt,203764781,"Cặp Laptop cá tính, siêu ngầu Xbags Success Xb 4001",Cặp đựng laptop,XBags,5,299000,1495000,VND,3,"Trải nghiệm của người dùng ở mức trung bình, có thể chấp nhận được.",399000,299000,399000.0,299000.0,,,0.0,0.0,0.0,,,Đặc điểm nổi bật của cặp laptop Xbags SuccessVới thời đại công nghệ phát triển không ngừng thì tích hợp một chiếc cặp để bảo vệ tốt chiếc laptop là điều thực sự cần thiết. Một chiếc cặp phải đảm bả...,,,,,Balo Túi xách Trung Nguyên TNShop,dropship,314.0,7.0,0.0,False,Tiki
T000017,2026-03-03 20:35:47,C01684,Male,49,Đà Lạt,325086460,LAV Ella Whisky Glasses - 370ml - Clear - Pack of 6,Marketplace,LAV,1,416748,416748,GBP,4,"Sản phẩm hoạt động ổn định và phù hợp với nhu cầu của tôi, tạo ra trải nghiệm khá tốt.",11.99,11.99,416748.0,416748.0,\N,\N,,,,in_stock,True,"Bring contemporary design and innovative styling to your drinking glassware with the Ella range of Drinking Glasses from LAV. Exuding simple elegance and refined sophistication, the subtle angles of these glasses' silhouettes have been designed to provide the perfect tasting experience. The shape allows ample room for the complex flavours and aromas of your malted spirit of choice to mature and develop, before encouraging them upward to gather at the top, serving as the perfect invitation for their guest to engage their senses. Like all LAV glassware, the Ella collection is dishwasher safe for hassle free cleaning. Whether shopping for business or pleasure, when it comes to products that effortlessly straddle the gap between fashion and function, the Ella range of stem and glassware is sure to fill your home with LAV.",SingleProduct,Cook & Dine,Glassware,\N,,,,,,,Tesco
T000018,2025-10-03 08:14:09,C00224,Female,50,Hà Nội,205503229,"Ba lô du lịch, phượt, thể thao nam công suất lớn phong cách hiện đại – BLN1010","Balo du lịch, phượt",Bee Gee,2,350000,700000,VND,5,Trải nghiệm với sản phẩm rất tích cực và tôi cảm thấy rất hạnh phúc với nó.,700000,350000,700000.0,350000.0,,,0.0,0.0,3.0,,,"Kích thước : rộng 37cm X cao 61cm X dày 21cmCông suất: 60 LPhương pháp sản xuất: công nghệ caoChất liệu : Vải Canvas mã hóa SIÊU CHỐNG NƯỚCChức năng: thoáng khí, chống mài mòn, làm sáng, chống sốc...",,,,,BEE GEE SHOP,dropship,303.0,15.0,0.0,False,Tiki
T000019,2025-10-02 13:43:48,C01811,Female,25,Vũng Tàu,325084681,"Silentnight Snugsie Giant Blanket, Sherpa Fleece Lined, Green, 240 x 180 cm",Marketplace,Silentnight,2,856437,1712874,GBP,5,Tôi cảm thấy sản phẩm đáp ứng đầy đủ nhu cầu và mang lại trải nghiệm tuyệt vời.,24.64,24.64,856437.0,856437.0,\N,\N,,,,in_stock,True,"The Silentnight Snugsie Giant Blanket is the ultimate snuggly accessory for your home. Sumptuously soft, cuddly comfort to keep you warm and cosy as you relax and big enough to fit the whole family. The blanket is super-sized for ultimate comfort, measuring 180 x 240cm which is bigger than a king size bed!<br />
<br />
Perfect for snuggling on the sofa, movie nights, camping, staying cosy in bed or just keeping warm on chilly nights. Its also fully machine washable so you can keep it feeling clean and fresh.<br />
<br />
Silentnight are the UK's most trusted sleep brand with over 75 years' experience in creating products that offer solutions for every sleeper.<br><br><ul><li>ULTIMATE SNUGGLY COMFORT: Sumptuously soft, cuddly comfort to keep you warm and cosy as you relax. </li><li>SUPER-SIZED: The Snugsie Giant Blanket is 180 x 240cm  bigger than a king size bed! It's big enough to fit the whole family or just shroud yourself in ultimate snuggly comfort.</li><li>SUPERSOFT AND COSY: Featuring a soft flannel fleece outer and a warm Sherpa fleece inside for extra cosy vibes!</li><li>MULTIUSE: Perfect for snuggling on the sofa, movie nights, camping, staying cosy in bed or just keeping warm on chilly nights.</li><li>MACHINE WASHABLE: Machine washable so you can keep it feeling fresh and clean.</li></ul>",SingleProduct,Home Accessories,Throws & Blankets,\N,,,,,,,Tesco
T000020,2025-10-27 09:18:10,C01910,Male,46,Huế,325087942,Harbour Housewares Washing Tablet Storage Container - Metal Vintage Industrial Under Sink Storage Caddy Cupboard Organiser | Cream | Cream | 1,Marketplace,Harbour Housewares,5,451506,2257530,GBP,4,"Ở góc độ người dùng, tôi có trải nghiệm tích cực và nhìn chung hài lòng với sản phẩm.",12.99,12.99,451506.0,451506.0,\N,\N,,,,in_stock,True,"This Vintage Washing Tablets Tin from Harbour Housewares allows you to keep your household essentials organised in the most stylish of fashion.
Made from lightweight metal with a powder-coated finish, these Canisters possess a real vintage charm, and the elegant handle positioned on top of the airtight lid makes accessing your washing tablets a doddle.
The gorgeous colour means these canisters will complement any colour scheme, making them a perfect housewarming present as well as a nice gift to yourself!
Check out the complete range of Vintage Metal Canistersfrom Harbour Homewares, and create your complete kitchen.",SingleProduct,Laundry & Cleaning,Laundry Accessories,\N,,,,,,,Tesco
T000021,2025-12-14 21:51:13,C01391,Female,36,Huế,160753961,Balo vải phối ngăn tiện lợi TRITA RBA1,Balo nam,TRITA,4,290000,1160000,VND,1,"Nhìn chung, sản phẩm không đạt mong đợi và khiến tôi cảm thấy rất thất vọng.",290000,290000,290000.0,290000.0,,,5.0,25.0,41.0,,,"Balo Trita RBA1 thiết kế hiện đại, trẻ trung, phù hợp để đi làm, đi học , đi chơi. Dù ở bất kỳ trường hợp nào chiếc balo vẫn mang đến cho bạn một phong cách hoàn hảo.THÔNG SỐ KỸ THUẬT:Chất liệ...",,,,,LATA OFFICIAL,dropship,593.0,2.0,0.0,False,Tiki
T000022,2025-12-20 08:33:24,C01574,Female,24,Vũng Tàu,171783683,Vali du lịch kéo Kingsun cao cấp Size 24inch KS-033 - Vàng,Vali nhựa,KingSun,4,518000,2072000,VND,1,"Ở góc độ người dùng, chất lượng cảm nhận chưa đạt yêu cầu và trải nghiệm tổng thể rất tiêu cực.",738000,518000,738000.0,518000.0,,,5.0,7.0,41.0,,,"Chúng tôi luôn mong muốn mang đến cho quý khách những sản phẩm tốt nhất với giá thành cạnh tranh. Cùng với đó là chính sách chăm sóc khách hàng tận tâm, luôn coi sự hài lòng của khách hàng là tâm điểm...",,,,,KingSun Vali,dropship,536.0,9.0,0.0,True,Tiki
T000023,2026-04-05 06:15:09,C01312,Female,49,Cần Thơ,325088402,Harbour Housewares Glass Kitchen Chopping Board - 50 x 40cm - Red | Red | Red,Marketplace,Harbour Housewares,4,416748,1666992,GBP,2,"Ở góc độ người dùng, sản phẩm chưa đáp ứng tốt kỳ vọng và trải nghiệm còn khá hạn chế.",11.99,11.99,416748.0,416748.0,\N,\N,,,,in_stock,True,"This Glass Chopping Board from Harbour Housewares is an essential feature in any food preparation station, providing a sturdy and convenient place to chop, slice and dice food and ingredients while keeping surfaces clean. A 2017 study revealed that the average Brit spends a whopping 351 minutes a week in the kitchen, whether cooking meals or washing up after eating them. It's prudent, therefore, to keep that space as inviting and as free from stress as possible. With its heavyweight tempered glass construction, this glass chopping board will serve as your trusty companion through every one of those 351 minutes. The large surface area offers ample room for chopping, slicing and dicing, while an exceptional resistance to heat allows you to rest hot pots and pans during plating without fear of damaging delicate surfaces. Best of all, once the cooking is complete, your board can be simply wiped clean and restored to condition pristine!",SingleProduct,Cook & Dine,Cookware,\N,,,,,,,Tesco
T000024,2026-05-12 19:13:16,C00916,Female,54,Đà Lạt,215589703,"Balo laptop 15.6"" Targus TBB584 Black, bộ sưu tập Cypress EcoSmart, hàng chính hãng",Balo laptop,Targus,3,1890000,5670000,VND,5,Trải nghiệm với sản phẩm rất tích cực và tôi cảm thấy rất hạnh phúc với nó.,1890000,1890000,1890000.0,1890000.0,,,0.0,0.0,2.0,,,"TÍNH NĂNG, ĐẶC ĐIỂMPhù hợp mang đi làm, đi học hàng ngày.Thân thiện với môi trường: Làm từ 20 chai nước tái chế.Ngăn laptop 15.6"" có đệm chuyên dụng chống sốc, chống va đập.Ngăn chính riêng...",,,,,Targus Official Store,dropship,236.0,12.0,0.0,False,Tiki
T000025,2025-10-01 07:19:59,C01324,Female,46,Hà Nội,167437556,BALO THỜI TRANG DU LỊCH LEO NÚI ĐI PHƯỢT CÔNG SUẤT LỚN 80 LÍT ngăn chứa CỰC LỚN phong cách thể thao chất liệu cao cấp,Root,OEM,2,257000,514000,VND,5,"Theo cảm nhận của tôi, trải nghiệm với sản phẩm rất tích cực và khiến tôi hoàn toàn hài lòng.",257000,257000,257000.0,257000.0,,,0.0,0.0,1.0,,,       BALO THỜI TRANG DU LỊCH LEO NÚI ĐI PHƯỢT CÔNG SUẤT LỚN 80 LÍT   Nếu bạn là một phượt thủ chuyên nghiệp hẳn đã ít nhất một lần bạn nghe tới khái niệm “tây ba lô”. Sao lại gọi là “tây ba lô”...,,,,,Cặp sách đi học,dropship,555.0,9.0,0.0,False,Tiki
T000026,2026-04-26 23:10:59,C01631,Male,43,TP. Hồ Chí Minh,203764781,"Cặp Laptop cá tính, siêu ngầu Xbags Success Xb 4001",Cặp đựng laptop,XBags,4,299000,1196000,VND,3,"Trải nghiệm không quá tốt, và không có gì nổi bật.",399000,299000,399000.0,299000.0,,,0.0,0.0,0.0,,,Đặc điểm nổi bật của cặp laptop Xbags SuccessVới thời đại công nghệ phát triển không ngừng thì tích hợp một chiếc cặp để bảo vệ tốt chiếc laptop là điều thực sự cần thiết. Một chiếc cặp phải đảm bả...,,,,,Balo Túi xách Trung Nguyên TNShop,dropship,314.0,7.0,0.0,False,Tiki
T000027,2025-12-07 05:18:04,C01183,Female,26,Nha Trang,74188633,"Túi đựng Y TẾ cá nhân, gia đình và du lịch cao cấp YT001",Túi trống,Baroca,3,68000,204000,VND,1,"Ở góc độ người dùng, sản phẩm không đạt mong đợi và khiến tôi cảm thấy rất thất vọng.",101120,68000,101120.0,68000.0,,,4.6,13.0,101.0,,,"Túi đựng Y TẾ cá nhân, gia đình và du lịch cao cấp YT001Rất quan trọng và cần thiếtBạn đang chuẩn bị cho chuyến đi xa, công tác hoặc du lịch. Bạn đang lo lắng về việc nên mang theo thuốc gì hoặc các ...",,,,,TIẾN PHÁT STORE,tiki_delivery,1001.0,1.0,0.0,False,Tiki
T000028,2026-06-26 01:47:11,C01205,Male,22,Hà Nội,138661699,Giá cả cạnh tranh - Cặp đi học nam nữ,Root,OEM,2,59000,118000,VND,3,"Trải nghiệm của người dùng ở mức trung bình, có thể chấp nhận được.",59000,59000,59000.0,59000.0,,,4.0,2.0,4.0,,,"       Trẻ trung, năng động, hợp thời trang   Túi , BALO với thiết kế năng động, trẻ trung cho các bạn trẻ với họa tiết đơn giản nhưng không kém phần cá tính. Góp phần tạo ra điểm nhấn làm nổi bậ...",,,,,DIỄM MY STORE,dropship,669.0,9.0,0.0,False,Tiki
T000029,2026-05-31 09:21:43,C00130,Female,28,TP. Hồ Chí Minh,325088759,"Outsunny Garden Bistro Set, 3 Pieces Table and Chairs Set, Outdoor Garden Furniture with Foldable Breathable Mesh Fabric Armchairs & Glass Top Coffee Table | Grey",Marketplace,Outsunny,2,2258922,4517844,GBP,4,"Ở góc độ người dùng, tôi hài lòng vì sản phẩm nhìn chung đáp ứng tốt mong đợi.",64.99,64.99,2258922.0,2258922.0,\N,\N,,,,in_stock,True,"This Outsunny set comes with a round table and two matching chairs - enjoy time outdoors with company, practically anywhere. Powder coated metal frames mean strong cores to support you. Each piece is foldable - easy to carry and store away. The table is fitted with a tempered glass top - a sleek and safe finishing touch. Colour: Light Grey<br/>
 Materials: Steel, Tempered Glass, Breathable Mesh Fabric<br/>
 Table Dimension: 45 x 50H cm<br/>
 Chair Size: 53.5W x 64D x 93H cm<br/>
 Folded Chair Size: 86L x 53.5W x 9D cm<br/>
 Folded Table Size: 64L x 45W x 7.5D cm<br/>
 Seat Size: 43W x 40D cm<br/>
 Seat Height: 42 cm<br/>
 Backrest Size: 43W x 45H cm<br/>
 Table Weight Capacity: 25 kg<br/>
 Chair Weight Capacity: 120 kg<br/>
 Item Label: 84G-282V00LG<br/>",SingleProduct,Garden & DIY,Garden Furniture,\N,,,,,,,Tesco
T000030,2026-06-20 08:49:21,C00144,Female,43,Nha Trang,179758587,VALI SIÊU TO KHỔNG LỒ KHÓA SẬP KHUNG NHÔM CHỐNG VA ĐẬP SIZE 28 32 34 INCH,Root,OEM,5,1750000,8750000,VND,3,"Sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",1750000,1750000,1750000.0,1750000.0,,,2.0,1.0,3.0,,,"       VALI SIÊU TO KHỔNG LỒ KHÓA SẬP KHUNG NHÔM CHỐNG VA ĐẬP SIZE 28 32 34 INCH   Vali được thiết kế hình hộp bắt mắt, Kiểu dáng thời trang, màu sắc tươi trẻ nên rất nhiều người nổi tiếng như ca...",,,,,Vali Balo Anh Shop,dropship,488.0,9.0,0.0,False,Tiki
T000031,2026-04-20 15:13:21,C00887,Male,27,Hải Phòng,263025908,"[Lập Trình Nhúng A-Z][G38] Mạch Tăng Áp DC-DC 400W Điện Áp Vào 8,5V-50V Cho Ra 10V-60V",Root,OEM,5,75000,375000,VND,4,Sản phẩm hoạt động ổn định và mang lại trải nghiệm khá tốt.,75000,75000,75000.0,75000.0,,,0.0,0.0,0.0,,,        THÔNG SỐ KỸ THUẬT:   ️ Đặc tính mô-đun: mô-đun bước lên không bị cô lập (BOOST)   ️ Điện áp đầu vào: DC8.5V-50V   ️ Dòng điện đầu vào: 15A (MAX) vượt quá 8A vui lòng tăng cường tản nhiệ...,,,,,Lập Trình Nhúng AZ,dropship,91.0,3.0,0.0,False,Tiki
T000032,2026-03-02 22:12:29,C01903,Male,43,Vũng Tàu,230038657,Set 6 túi đựng đồ du lịch chống thấm giúp phân loại đồ đi du lịch gọn gàng tiện lợi,Root,OEM,2,132000,264000,VND,4,"Ở góc độ người dùng, tôi hài lòng vì sản phẩm nhìn chung đáp ứng tốt mong đợi.",132000,132000,132000.0,132000.0,,,0.0,0.0,2.0,,,       1 . Thông tin sản phẩm   Tên sản phẩm : Set 6 túi đựng đồ du lịch   Bộ sản phẩm : Set 6 túi   (Quà tặng 1 gói 10 cái khẩu trang KF 94)   Kich thước đóng gói : 32cm x 21cm x 6cm   Xuất ...,,,,,Hanvimall,dropship,199.0,10.0,0.0,False,Tiki
T000033,2025-12-15 14:39:19,C01372,Male,19,Đà Nẵng,76755779,Ba lô đi chơi đi học chống nước (xanh pastel),Balo nam,OEM,1,310000,310000,VND,4,"Trải nghiệm khá tích cực, sản phẩm đáp ứng tốt nhu cầu của tôi.",310000,310000,310000.0,310000.0,,,0.0,0.0,0.0,,,"Ba lô Pastel BlueMô tả sản phẩm: Ba lô màu pastel xinh xắn thiết kế bởi ARROWLIGHT Kích thước 29cm x 12cm x44cm Chất liệu vải chống nước Khối lượng 0,58kg Để đươ...",,,,,Kapi pet shop,dropship,955.0,2.0,0.0,False,Tiki
T000034,2026-03-14 10:55:54,C01642,Male,40,Hải Phòng,7462573,Túi bọc bảo vệ vali -Áo vỏ bọc vali - Du Lịch Nhật Bản,Phụ kiện vali,ZOOYOO,4,149000,596000,VND,4,"Ở góc độ người dùng, sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.",232000,149000,232000.0,149000.0,,,4.7,3.0,65.0,,,"1. HƯỚNG DẪN CHỌN SIZE  :Túi bọc bảo vệ vali -Áo vỏ bọc vali  Size S : Cao 48-53cm, Dài 32-35 cm, Rộng 20-23cm (18-20 inch ) Size M : Cao 58-63 cm, Dài 39-42 cm, Rộng 23-26 cm ( 22-24 inch) Size L ...",,,,,HKT Home Shopping,dropship,1758.0,3.0,0.0,False,Tiki
