Transaction_ID,Customer_ID,Product_ID,Transaction_Date,Quantity,Unit_Price_VND,Revenue,Rating,Customer_Review,Gender,Age,City
T000022,C01579,79837290,2025-12-17 08:33:24,1,29000,29000,5,"Ở góc độ người dùng, tôi rất hài lòng vì sản phẩm đáp ứng rất tốt mong đợi của mình.",Female,52,TP. Hồ Chí Minh
T000023,C01828,149363896,2026-04-02 06:15:09,5,500000,2500000,5,"Với trải nghiệm này, tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể.",Male,59,Nha Trang
T000024,C00796,242407526,2026-05-09 19:13:16,5,488750,2443750,4,Tôi hài lòng với sản phẩm trong tổng thể và cho thấy nó đáp ứng được kỳ vọng của mình.,Female,56,Biên Hòa
T000025,C01687,325088142,2025-09-28 07:19:59,2,2432712,4865424,5,Tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể của sản phẩm.,Female,33,Đà Lạt
T000026,C01405,148715360,2026-04-23 23:10:59,5,870000,4350000,5,Sản phẩm đáp ứng rất tốt nhu cầu và mang lại trải nghiệm tuyệt vời.,Male,22,Vũng Tàu
T000027,C00228,93276711,2025-12-04 05:18:04,4,431100,1724400,3,"Với trải nghiệm này, sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",Female,20,TP. Hồ Chí Minh
T000028,C01045,203764781,2026-06-23 01:47:11,5,299000,1495000,3,"Trải nghiệm của người dùng ở mức trung bình, có thể chấp nhận được.",Male,50,Hà Nội
T000029,C01684,325086460,2026-05-28 09:21:43,1,416748,416748,4,"Sản phẩm hoạt động ổn định và phù hợp với nhu cầu của tôi, tạo ra trải nghiệm khá tốt.",Female,33,Đà Lạt
T000030,C00224,205503229,2026-06-17 08:49:21,2,350000,700000,5,Trải nghiệm với sản phẩm rất tích cực và tôi cảm thấy rất hạnh phúc với nó.,Female,23,Đà Nẵng
T000031,C01811,325084681,2026-04-17 15:13:21,2,856437,1712874,5,Tôi cảm thấy sản phẩm đáp ứng đầy đủ nhu cầu và mang lại trải nghiệm tuyệt vời.,Female,53,Hải Phòng
T000032,C01910,325087942,2026-02-27 22:12:29,5,451506,2257530,4,"Ở góc độ người dùng, tôi có trải nghiệm tích cực và nhìn chung hài lòng với sản phẩm.",Female,55,Đà Lạt
T000033,C01391,160753961,2025-12-12 14:39:19,4,290000,1160000,1,"Nhìn chung, sản phẩm không đạt mong đợi và khiến tôi cảm thấy rất thất vọng.",Male,50,Nha Trang
T000034,C01574,171783683,2026-03-11 10:55:54,4,518000,2072000,1,"Ở góc độ người dùng, chất lượng cảm nhận chưa đạt yêu cầu và trải nghiệm tổng thể rất tiêu cực.",Female,55,Huế
T000035,C01312,325088402,2026-05-04 20:21:15,4,416748,1666992,2,"Ở góc độ người dùng, sản phẩm chưa đáp ứng tốt kỳ vọng và trải nghiệm còn khá hạn chế.",Female,30,Vũng Tàu
T000036,C00916,215589703,2026-01-04 00:55:31,3,1890000,5670000,5,Trải nghiệm với sản phẩm rất tích cực và tôi cảm thấy rất hạnh phúc với nó.,Female,61,Hà Nội
T000037,C01324,167437556,2026-07-29 08:26:19,2,257000,514000,5,"Theo cảm nhận của tôi, trải nghiệm với sản phẩm rất tích cực và khiến tôi hoàn toàn hài lòng.",Female,53,Vũng Tàu
T000038,C01631,203764781,2026-08-21 14:27:58,4,299000,1196000,3,"Trải nghiệm không quá tốt, và không có gì nổi bật.",Male,20,Huế
T000039,C01183,74188633,2025-09-20 12:34:22,3,68000,204000,1,"Ở góc độ người dùng, sản phẩm không đạt mong đợi và khiến tôi cảm thấy rất thất vọng.",Male,30,Hà Nội
T000040,C01205,138661699,2026-07-09 16:35:50,2,59000,118000,3,"Trải nghiệm của người dùng ở mức trung bình, có thể chấp nhận được.",Female,46,Huế
T000041,C00130,325088759,2026-07-27 22:46:47,2,2258922,4517844,4,"Ở góc độ người dùng, tôi hài lòng vì sản phẩm nhìn chung đáp ứng tốt mong đợi.",Male,19,Biên Hòa
T000042,C00144,179758587,2025-11-19 00:07:57,5,1750000,8750000,3,"Sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",Female,59,Huế
T000043,C00887,263025908,2026-06-16 03:07:50,5,75000,375000,4,Sản phẩm hoạt động ổn định và mang lại trải nghiệm khá tốt.,Female,54,Hải Phòng
T000044,C01903,230038657,2026-03-01 03:03:06,2,132000,264000,4,"Ở góc độ người dùng, tôi hài lòng vì sản phẩm nhìn chung đáp ứng tốt mong đợi.",Male,53,Nha Trang
T000045,C01372,76755779,2026-01-28 03:21:52,1,310000,310000,4,"Trải nghiệm khá tích cực, sản phẩm đáp ứng tốt nhu cầu của tôi.",Female,18,Hải Phòng
T000046,C01642,7462573,2026-01-03 21:56:55,4,149000,596000,4,"Ở góc độ người dùng, sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.",Male,63,Nha Trang
T000047,C01995,143112615,2025-11-17 09:10:26,2,190000,380000,3,"Theo cảm nhận của tôi, sản phẩm đáp ứng nhu cầu cơ bản nhưng chưa tạo được nhiều ấn tượng.",Male,56,TP. Hồ Chí Minh
T000048,C00195,325083351,2025-12-10 14:52:10,2,10427052,20854104,3,"Ở góc độ người dùng, sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",Male,65,Hải Phòng
T000049,C00962,139970736,2026-07-11 12:16:51,1,5000,5000,2,"Ở góc độ người dùng, sản phẩm vẫn dùng được nhưng chưa khiến tôi cảm thấy hài lòng.",Female,64,Đà Lạt
T000050,C01817,49363752,2026-01-26 17:17:18,5,159000,795000,2,Sản phẩm chưa đáp ứng được kỳ vọng và trải nghiệm còn hạn chế.,Male,45,Cần Thơ
T000051,C01761,212561916,2025-10-27 16:40:07,5,89300,446500,1,Trải nghiệm với sản phẩm rất tệ và tôi hoàn toàn không hài lòng.,Female,65,Đà Nẵng
T000052,C00421,194570419,2025-10-24 00:27:14,5,35000,175000,1,"Ở góc độ người dùng, chất lượng cảm nhận chưa đạt yêu cầu và trải nghiệm tổng thể rất tiêu cực.",Female,45,TP. Hồ Chí Minh
T000053,C01307,252763609,2026-02-12 13:10:44,1,45000,45000,2,Sản phẩm chưa đáp ứng tốt kỳ vọng và trải nghiệm còn khá hạn chế.,Male,36,Huế
T000054,C01448,205289375,2025-10-25 13:27:43,1,2750000,2750000,4,"Theo cảm nhận của tôi, tôi hài lòng vì sản phẩm nhìn chung đáp ứng tốt mong đợi.",Female,39,Huế
T000055,C01888,325087063,2026-02-04 09:55:49,1,1250940,1250940,2,"Với trải nghiệm này, sản phẩm vẫn dùng được nhưng chưa khiến tôi cảm thấy hài lòng.",Female,40,Vũng Tàu
T000056,C01063,168496590,2026-08-13 03:13:12,4,110600,442400,2,Tôi chưa hài lòng vì sản phẩm vẫn còn nhiều điểm cần cải thiện.,Female,45,Đà Lạt
T000057,C01660,194454994,2026-01-29 13:53:58,4,25000,100000,3,Trải nghiệm ở mức bình thường và không có gì quá nổi bật.,Male,47,Hà Nội
T000058,C00569,119368423,2026-05-10 11:08:04,2,100000,200000,5,Tôi cảm thấy sản phẩm đáp ứng tốt nhu cầu và mang lại trải nghiệm tuyệt vời.,Male,57,Đà Lạt
T000059,C01180,191981357,2025-12-29 17:30:47,4,37800,151200,5,"Nhìn chung, sản phẩm đáp ứng rất tốt nhu cầu và mang lại trải nghiệm tuyệt vời.",Male,34,Vũng Tàu
T000060,C00917,325086446,2026-07-28 10:58:50,2,451506,903012,5,"Ở góc độ người dùng, trải nghiệm với sản phẩm rất tích cực và khiến tôi hoàn toàn hài lòng.",Male,54,Vũng Tàu
T000061,C01934,95289510,2025-10-04 20:59:14,2,550000,1100000,2,"Theo cảm nhận của tôi, sản phẩm vẫn dùng được nhưng chưa khiến tôi cảm thấy hài lòng.",Male,41,Đà Lạt
T000062,C01478,263063240,2026-06-28 09:35:35,4,1800,7200,5,Trải nghiệm với sản phẩm rất tích cực và tôi cảm thấy rất hạnh phúc với nó.,Male,62,Nha Trang
T000063,C00639,206289442,2026-03-15 10:09:00,5,3490000,17450000,4,Tôi hài lòng vì sản phẩm đáp ứng được nhu cầu cơ bản và mang lại trải nghiệm tích cực.,Male,19,Vũng Tàu
T000064,C00164,191423246,2026-04-14 06:00:29,4,49900,199600,2,"Nhìn chung, sản phẩm chưa đáp ứng tốt kỳ vọng và trải nghiệm còn khá hạn chế.",Female,54,Huế
T000065,C00663,325086165,2025-11-05 11:27:50,5,3127872,15639360,3,"Việc sử dụng sản phẩm mang lại trải nghiệm trung bình, có thể chấp nhận được.",Female,29,Vũng Tàu
T000066,C01476,263026934,2026-09-11 04:24:57,5,4500,22500,3,"Với trải nghiệm này, trải nghiệm ở mức bình thường và không có gì quá nổi bật.",Male,38,Đà Nẵng
T000067,C01742,205673305,2026-02-12 00:11:46,4,396000,1584000,1,"Sản phẩm không đạt tiêu chuẩn, gây thất vọng cho tôi.",Female,46,Nha Trang
T000068,C00317,183348475,2025-10-18 14:28:15,4,450000,1800000,1,Tôi cảm thấy rất thất vọng do sản phẩm không đạt mức chất lượng mong muốn.,Male,54,Biên Hòa
T000069,C00495,139211174,2026-04-20 09:23:29,4,11909,47636,2,"Nhìn chung, tôi chưa hài lòng vì sản phẩm vẫn còn nhiều điểm cần cải thiện.",Male,43,TP. Hồ Chí Minh
T000070,C01819,248641354,2026-01-09 20:37:10,4,70000,280000,3,"Với trải nghiệm này, trải nghiệm ở mức bình thường và không có gì quá nổi bật.",Female,63,Vũng Tàu
T000071,C00043,263026413,2026-08-06 02:36:42,1,25000,25000,5,Sản phẩm đáp ứng rất tốt nhu cầu và mang lại trải nghiệm tuyệt vời.,Male,41,Cần Thơ
T000072,C00476,325087837,2026-05-20 03:20:51,3,347232,1041696,5,Tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể của sản phẩm.,Female,39,Cần Thơ
T000073,C01669,98869045,2026-05-16 05:01:18,1,19500,19500,5,Trải nghiệm với sản phẩm rất tích cực và khiến tôi hoàn toàn hài lòng.,Female,60,Đà Lạt
T000074,C01433,190681085,2026-08-27 21:00:30,2,79000,158000,5,"Nhìn chung, tôi rất hài lòng vì sản phẩm đáp ứng rất tốt mong đợi của mình.",Male,65,Vũng Tàu
T000075,C00731,165030684,2026-08-18 15:41:25,1,395000,395000,1,"Ở góc độ người dùng, chất lượng cảm nhận chưa đạt yêu cầu và trải nghiệm tổng thể rất tiêu cực.",Male,25,Huế
T000076,C00608,76155912,2026-02-05 10:40:57,3,1250000,3750000,3,"Việc sử dụng sản phẩm mang lại trải nghiệm trung bình, có thể chấp nhận được.",Male,28,Hà Nội
T000077,C01582,254019048,2026-04-30 05:18:43,3,570000,1710000,1,"Với trải nghiệm này, sản phẩm không đạt mong đợi và khiến tôi cảm thấy rất thất vọng.",Male,50,Huế
T000078,C01873,325085376,2025-12-01 16:15:34,2,2432712,4865424,5,Tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể của sản phẩm.,Female,32,Đà Lạt
T000079,C00029,147352756,2026-06-18 15:05:07,3,225000,675000,1,Sản phẩm không đạt được mong đợi và làm tôi cảm thấy thất vọng.,Female,57,Cần Thơ
T000080,C01699,103621579,2025-10-15 00:18:03,5,1199000,5995000,3,"Theo cảm nhận của tôi, sản phẩm ở mức trung bình và nhìn chung vẫn có thể chấp nhận được.",Male,62,TP. Hồ Chí Minh
T000081,C01645,54811391,2025-10-05 19:06:51,4,219000,876000,1,"Nhìn chung, sản phẩm không đạt mong đợi và khiến tôi cảm thấy rất thất vọng.",Female,56,Hà Nội
T000082,C00243,115240244,2026-06-01 19:25:15,3,1590000,4770000,3,"Với trải nghiệm này, sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",Female,25,Biên Hòa
T000083,C00653,325085771,2025-12-15 12:09:57,5,868602,4343010,4,"Ở góc độ người dùng, tôi có trải nghiệm tích cực và nhìn chung hài lòng với sản phẩm.",Male,47,Hà Nội
T000084,C01973,253403357,2026-07-15 05:31:09,5,68000,340000,3,"Sản phẩm đáp ứng nhu cầu cơ bản, nhưng chưa tạo được ấn tượng đáng kể.",Female,35,Hải Phòng
T000085,C01224,168496299,2026-01-08 09:17:28,2,420224,840448,2,"Với trải nghiệm này, sản phẩm vẫn dùng được nhưng chưa khiến tôi cảm thấy hài lòng.",Female,56,TP. Hồ Chí Minh
T000086,C01943,325088463,2025-10-18 23:42:54,3,799086,2397258,5,"Theo cảm nhận của tôi, tôi rất hài lòng vì sản phẩm đáp ứng rất tốt mong đợi của mình.",Male,22,Biên Hòa
T000087,C00440,263025626,2026-08-16 04:08:20,3,4000,12000,3,"Theo cảm nhận của tôi, sản phẩm ở mức trung bình và nhìn chung vẫn có thể chấp nhận được.",Male,20,Vũng Tàu
T000088,C00439,262991424,2025-12-17 09:46:05,3,5900,17700,2,Sản phẩm chưa đáp ứng được kỳ vọng và trải nghiệm còn hạn chế.,Male,46,Vũng Tàu
T000089,C01547,189336866,2026-08-20 12:12:47,2,785000,1570000,3,"Sản phẩm đáp ứng nhu cầu cơ bản, nhưng chưa tạo được ấn tượng đáng kể.",Female,36,Đà Nẵng
T000090,C00902,116115858,2025-10-27 05:24:05,4,62700,250800,1,Trải nghiệm với sản phẩm rất tệ và tôi hoàn toàn không hài lòng.,Female,43,Hải Phòng
T000091,C01601,49955511,2026-02-12 15:01:59,3,49000,147000,3,"Trải nghiệm của người dùng ở mức trung bình, có thể chấp nhận được.",Male,26,Biên Hòa
T000092,C01967,4902377,2026-01-03 22:54:06,3,299000,897000,5,Trải nghiệm với sản phẩm rất tích cực và tôi cảm thấy rất hạnh phúc với nó.,Male,44,Hà Nội
T000093,C01932,166071756,2026-03-13 02:05:25,2,36000,72000,4,Tôi cảm thấy sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.,Female,63,Hải Phòng
T000094,C01653,196069749,2026-05-22 21:00:30,5,2220012,11100060,5,"Với trải nghiệm này, tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể.",Male,64,Cần Thơ
T000095,C01293,163581033,2026-08-07 22:28:21,1,32000,32000,5,Tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể của sản phẩm.,Female,64,Đà Nẵng
T000096,C01099,157198929,2026-02-06 16:28:56,1,550000,550000,2,"Theo cảm nhận của tôi, trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.",Male,41,TP. Hồ Chí Minh
T000097,C01462,149567397,2025-11-20 04:02:45,1,750000,750000,5,"Ở góc độ người dùng, trải nghiệm với sản phẩm rất tích cực và khiến tôi hoàn toàn hài lòng.",Male,47,Đà Nẵng
T000098,C00367,325087775,2026-02-08 18:20:12,1,486264,486264,2,"Từ góc độ người dùng, sản phẩm chưa đáp ứng được kỳ vọng và trải nghiệm còn hạn chế.",Male,59,Đà Lạt
T000099,C00334,248343275,2026-02-02 23:21:46,3,99000,297000,4,"Ở góc độ người dùng, tôi hài lòng vì sản phẩm nhìn chung đáp ứng tốt mong đợi.",Male,48,Vũng Tàu
T000100,C00720,145140013,2025-12-08 08:44:49,4,286300,1145200,5,Tôi rất hài lòng với trải nghiệm sử dụng sản phẩm vì nó đáp ứng tốt những mong đợi của mình.,Male,52,Huế
T000101,C00622,26679884,2026-06-05 06:29:07,1,39000,39000,3,Trải nghiệm của tôi không quá tốt nhưng vẫn đủ để chấp nhận được.,Male,22,Đà Nẵng
T000102,C00507,126272816,2025-12-30 16:24:49,5,57000,285000,4,"Trải nghiệm tổng thể khá tích cực, sản phẩm đáp ứng tốt nhu cầu của tôi.",Male,40,Cần Thơ
T000103,C00217,200689768,2026-06-17 13:26:21,2,990000,1980000,1,"Ở góc độ người dùng, trải nghiệm với sản phẩm rất tệ và tôi hoàn toàn không hài lòng.",Female,30,Vũng Tàu
T000104,C00330,325088880,2026-09-16 18:15:12,2,521022,1042044,1,"Nhìn chung, sản phẩm không đạt mong đợi và khiến tôi cảm thấy rất thất vọng.",Female,38,Huế
T000105,C00381,169337667,2026-06-10 11:07:33,2,468000,936000,3,"Trải nghiệm của người dùng ở mức trung bình, có thể chấp nhận được.",Male,50,Cần Thơ
T000106,C00513,325087643,2026-05-27 16:07:39,4,764328,3057312,5,Sản phẩm mang lại trải nghiệm tuyệt vời và đáp ứng đúng nhu cầu của tôi.,Female,24,Hà Nội
T000107,C00913,101135210,2025-10-15 17:31:10,4,69000,276000,3,Sản phẩm ở mức trung bình và nhìn chung vẫn có thể chấp nhận được.,Female,32,Hà Nội
T000108,C00478,208413172,2026-05-12 13:30:44,2,80000,160000,1,Sản phẩm không đạt được mong đợi và làm tôi cảm thấy thất vọng.,Male,57,TP. Hồ Chí Minh
T000109,C00920,85256202,2026-05-22 14:25:35,3,499000,1497000,4,Trải nghiệm của tôi khá tích cực và sản phẩm đáp ứng nhu cầu một cách tốt enough.,Male,41,Đà Nẵng
T000110,C01659,325087792,2025-11-23 11:07:40,3,833844,2501532,3,"Với trải nghiệm này, trải nghiệm ở mức bình thường và không có gì quá nổi bật.",Female,39,Huế
T000111,C01682,204297975,2026-04-13 10:32:40,4,210000,840000,4,"Với trải nghiệm này, tôi có trải nghiệm tích cực và nhìn chung hài lòng với sản phẩm.",Male,20,Cần Thơ
T000112,C00559,47320881,2026-06-28 03:57:15,3,404100,1212300,3,Sản phẩm ở mức trung bình và nhìn chung vẫn có thể chấp nhận được.,Female,59,Đà Nẵng
T000113,C01553,115828601,2025-12-22 01:48:11,2,1045000,2090000,1,Chất lượng sản phẩm không đáp ứng yêu cầu và trải nghiệm tổng thể tiêu cực.,Male,45,Cần Thơ
T000114,C01227,77895298,2025-11-20 11:01:17,2,58500,117000,4,Tôi có trải nghiệm tích cực và cảm thấy hài lòng với sản phẩm.,Female,18,Hà Nội
T000115,C01828,211926632,2026-03-16 12:34:38,2,285000,570000,2,"Trải nghiệm không tốt, sản phẩm cần được cải thiện để đáp ứng kỳ vọng.",Male,59,Nha Trang
T000116,C00257,213963735,2026-02-12 08:46:51,2,13800000,27600000,2,"Với trải nghiệm này, tôi chưa hài lòng vì sản phẩm vẫn còn nhiều điểm cần cải thiện.",Male,44,Hà Nội
T000117,C00582,253299914,2025-12-31 20:05:45,4,595000,2380000,3,"Nhìn chung, sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",Male,65,Đà Lạt
T000118,C00607,163871144,2026-09-12 09:16:15,5,39000,195000,1,Trải nghiệm với sản phẩm rất tệ và tôi hoàn toàn không hài lòng.,Male,29,Nha Trang
T000119,C01994,173054024,2026-05-24 13:13:48,5,79000,395000,4,Sản phẩm hoạt động ổn định và mang lại trải nghiệm khá tốt.,Female,22,Cần Thơ
T000120,C01270,325088102,2026-06-12 06:08:03,5,3371178,16855890,4,Tôi hài lòng vì sản phẩm đáp ứng được nhu cầu cơ bản và mang lại trải nghiệm tích cực.,Female,37,Đà Lạt
T000121,C01726,325087775,2026-04-22 07:08:52,5,486264,2431320,2,"Ở góc độ người dùng, sản phẩm vẫn dùng được nhưng chưa khiến tôi cảm thấy hài lòng.",Female,55,Đà Lạt
T000122,C01909,51200014,2025-12-12 06:57:42,4,33000,132000,2,Trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.,Female,33,TP. Hồ Chí Minh
T000123,C01707,325088750,2026-06-10 21:04:02,2,4518192,9036384,4,"Trải nghiệm tổng thể khá tích cực, sản phẩm đáp ứng tốt nhu cầu của tôi.",Male,32,Đà Lạt
T000124,C01210,115990483,2026-01-21 22:32:02,1,25000,25000,4,Tôi cảm thấy sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.,Male,32,Biên Hòa
T000125,C00891,476610,2026-08-11 07:56:57,2,221900,443800,4,"Ở góc độ người dùng, tôi hài lòng vì sản phẩm nhìn chung đáp ứng tốt mong đợi.",Male,39,Cần Thơ
T000126,C00605,263026431,2026-07-13 09:12:05,2,1000,2000,4,"Trải nghiệm tổng thể khá tích cực, sản phẩm đáp ứng tốt nhu cầu của tôi.",Female,64,Hải Phòng
T000127,C01049,203428500,2026-07-16 08:50:36,1,79900,79900,5,"Với trải nghiệm này, tôi rất hài lòng với chất lượng cảm nhận và trải nghiệm tổng thể.",Female,63,Huế
T000128,C01934,171587772,2025-10-09 17:22:46,4,409000,1636000,4,"Ở góc độ người dùng, sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.",Male,41,Đà Lạt
T000129,C00433,138624188,2025-12-15 22:52:57,1,69000,69000,2,"Với trải nghiệm này, tôi chưa hài lòng vì sản phẩm vẫn còn nhiều điểm cần cải thiện.",Male,21,Hà Nội
T000130,C00416,191586823,2026-08-03 03:45:19,5,259000,1295000,5,"Theo cảm nhận của tôi, trải nghiệm với sản phẩm rất tích cực và khiến tôi hoàn toàn hài lòng.",Male,34,Đà Nẵng
T000131,C00480,87670334,2025-09-30 11:11:45,3,249000,747000,2,"Trải nghiệm không tốt, sản phẩm cần được cải thiện để đáp ứng kỳ vọng.",Male,24,Biên Hòa
T000132,C01807,325088067,2026-07-27 15:34:14,5,521022,2605110,3,"Với trải nghiệm này, sản phẩm đáp ứng nhu cầu cơ bản nhưng chưa tạo được nhiều ấn tượng.",Female,61,Vũng Tàu
T000133,C01363,144448718,2026-01-18 12:14:07,2,25000,50000,4,"Với trải nghiệm này, sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.",Male,55,Huế
T000134,C01542,325084615,2026-02-20 19:07:36,4,277716,1110864,5,Sản phẩm đáp ứng đúng nhu cầu và mang lại trải nghiệm tuyệt vời.,Female,40,TP. Hồ Chí Minh
T000135,C00904,186218193,2025-12-30 23:31:33,2,419520,839040,4,"Với trải nghiệm này, sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.",Female,52,Đà Lạt
T000136,C01715,120114767,2025-10-13 16:55:21,5,1300000,6500000,3,"Với trải nghiệm này, sản phẩm dùng được, không quá tốt nhưng cũng không quá tệ.",Female,43,Hải Phòng
T000137,C01879,263025520,2025-12-08 22:30:09,5,14000,70000,3,"Việc sử dụng sản phẩm mang lại trải nghiệm trung bình, có thể chấp nhận được.",Female,32,Hà Nội
T000138,C01852,173056469,2026-09-07 15:02:43,5,69000,345000,5,"Nhìn chung, sản phẩm đáp ứng rất tốt nhu cầu và mang lại trải nghiệm tuyệt vời.",Male,48,Cần Thơ
T000139,C00839,36630060,2026-04-26 06:30:04,2,48500,97000,1,"Ở góc độ người dùng, tôi rất thất vọng vì sản phẩm không đáp ứng được kỳ vọng.",Female,23,Huế
T000140,C01452,191819666,2026-08-24 08:20:17,1,2460000,2460000,2,"Theo cảm nhận của tôi, trải nghiệm chưa tốt và sản phẩm cần cải thiện thêm để đáp ứng mong đợi.",Male,60,Cần Thơ
T000141,C01646,147462249,2026-06-23 19:26:45,1,32000,32000,1,"Ở góc độ người dùng, trải nghiệm với sản phẩm rất tệ và tôi hoàn toàn không hài lòng.",Male,38,Đà Lạt
T000142,C01369,205289375,2026-01-18 05:00:37,1,2750000,2750000,4,Tôi có trải nghiệm khá tích cực và sản phẩm đáp ứng tốt nhu cầu của mình.,Male,45,Huế
T000143,C01870,249574900,2025-12-09 13:49:22,1,109000,109000,4,Tôi cảm thấy sản phẩm hoạt động ổn và mang lại trải nghiệm khá tốt.,Male,60,Cần Thơ
T000144,C00965,95058437,2026-05-30 13:07:52,3,133000,399000,1,"Ở góc độ người dùng, trải nghiệm với sản phẩm rất tệ và tôi hoàn toàn không hài lòng.",Male,61,Cần Thơ
T000145,C01165,213943589,2026-03-30 21:10:21,3,499000,1497000,4,Trải nghiệm của tôi khá tích cực và sản phẩm đáp ứng nhu cầu một cách tốt enough.,Female,42,TP. Hồ Chí Minh
